Run1 ,All vars,,,,,,
accuracy:,0.715125738,AUC:,0.740366252,percision:,0.748549824,recall:,0.405957145
,,,,,,,
,0,0,,,,,
0,action_10,-0.066612,,,,,
1,action_11,-0.350361,,,,,
2,action_12,0.375135,,,,,
3,action_15,0.123644,,,,,
4,action_about_us,0.076504,,,,,
5,action_account,0.021584,,,,,
6,action_active,-0.094244,,,,,
7,action_add_guests,6.511456,,,,,
8,action_add_note,0.150148,,,,,
9,action_agree_terms_check,0.425424,,,,,
10,action_agree_terms_uncheck,-0.562951,,,,,
11,action_airbnb_picks,-0.327033,,,,,
12,action_ajax_check_dates,-0.013801,,,,,
13,action_ajax_get_referrals_amt,-0.024296,,,,,
14,action_ajax_get_results,0.052883,,,,,
15,action_ajax_google_translate,0.281217,,,,,
16,action_ajax_google_translate_description,0.07461,,,,,
17,action_ajax_google_translate_reviews,0.23845,,,,,
18,action_ajax_image_upload,0.094393,,,,,
19,action_ajax_ldp,-0.514365,,,,,
20,action_ajax_lwlb_contact,0.080437,,,,,
21,action_ajax_payout_edit,-0.066258,,,,,
22,action_ajax_payout_options_by_country,-0.028213,,,,,
23,action_ajax_payout_split_edit,-4.653678,,,,,
24,action_ajax_photo_widget,-0.159488,,,,,
25,action_ajax_photo_widget_form_iframe,0.043234,,,,,
26,action_ajax_price_and_availability,-0.214378,,,,,
27,action_ajax_referral_banner_experiment_type,-0.040954,,,,,
28,action_ajax_referral_banner_type,0.054306,,,,,
29,action_ajax_refresh_subtotal,0.214392,,,,,
...,...,...,,,,,
375,action_detail_signup_modal,0.009706,,,,,
376,action_detail_similar_listings,-0.021927,,,,,
377,action_detail_terms_and_privacy,-0.026267,,,,,
378,action_detail_toggle_archived_thread,-0.170973,,,,,
379,action_detail_toggle_starred_thread,0.158596,,,,,
380,action_detail_translate_listing_reviews,0.23845,,,,,
381,action_detail_translations,-0.285276,,,,,
382,action_detail_trip_availability,-0.155998,,,,,
383,action_detail_unavailable_dates,-0.141336,,,,,
384,action_detail_update_listing,0.224249,,,,,
385,action_detail_update_listing_description,-0.060494,,,,,
386,action_detail_update_user,0.009389,,,,,
387,action_detail_update_user_profile,0.160097,,,,,
388,action_detail_user_friend_recommendations,0.223733,,,,,
389,action_detail_user_languages,-0.146243,,,,,
390,action_detail_user_listings,-0.013544,,,,,
391,action_detail_user_profile,-0.100846,,,,,
392,action_detail_user_profile_content_update,0.046868,,,,,
393,action_detail_user_reviews,0.063868,,,,,
394,action_detail_user_social_connections,0.369289,,,,,
395,action_detail_user_tax_forms,0.325314,,,,,
396,action_detail_user_wishlists,0.05764,,,,,
397,action_detail_view_listing,0.441997,,,,,
398,action_detail_view_search_results,-0.165906,,,,,
399,action_detail_wishlist,0.068703,,,,,
400,action_detail_wishlist_content_update,-0.010296,,,,,
401,action_detail_wishlist_note,0.150148,,,,,
402,action_detail_your_listings,-0.12014,,,,,
403,action_detail_your_reservations,-0.208401,,,,,
404,action_detail_your_trips,0.083318,,,,,
